Time,UKQuarterlyHPI,UKEmp,UKUnEmp,UKMonthlyHousePrice,RegCBI,RegCC,BusinessBirths,ConstructionOutput_TNH,ConstructionOutput_ANW,ConstructionOutput_AW,Unemployment,Employment,PublicEMP,WorkforceJobs,Exports,Imports,PayrollEMP,PayrollPayMedian,HousePrice,PMIAC,PMINB,PMIOB,PMICH,PMIPR,PMIEM,HousingRental,PMIFU
Tcode,5,1,1,5,1,1,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
lag ,0,2,2,2,1,0,1,2,2,2,2,2,3,3,4,4,0,0,2,0,0,0,0,0,0,0,0
1967,0.00672,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1967.25,0.00661,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1967.5,0.00759,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1967.75,0.00852,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1968,0.00732,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1968.25,0.01024,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1968.5,0.00603,-99999999,-99999999,0.014477824,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.024243612,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1968.75,0.00398,-99999999,-99999999,-0.002379702,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.023669744,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1969,0.0059,-99999999,-99999999,0.00710034,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.011628038,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1969.25,0.00582,-99999999,-99999999,0.006986121,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.028491956,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1969.5,0.00288,-99999999,-99999999,0.004595752,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.005633818,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1969.75,0.00853,-99999999,-99999999,0.004547628,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.005633818,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1970,0.00652,-99999999,-99999999,0.00225608,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.011299555,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1970.25,0.00733,-99999999,-99999999,0.006698762,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.044451762,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1970.5,0.00542,-99999999,-99999999,0.01949779,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.03733767,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1970.75,0.00712,-99999999,-99999999,0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.02072613,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1971,0.01475,72.2,3.8,0.010465434,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.035268139,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1971.25,0.01509,72,4.1,0.012234457,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1971.5,0.0287,71.7,4.2,0.025381731,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.062370331,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1971.75,0.02328,71.5,4.4,0.018562419,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.054311989,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1972,0.03577,71.8,4.5,0.026435816,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.068111426,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1972.25,0.03801,71.9,4.4,0.039211079,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.120066663,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1972.5,0.05225,72,4.3,0.061105182,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.170697076,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1972.75,0.02755,72.2,4.2,0.030144142,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.099497206,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1973,0.02755,72.8,3.9,0.046769243,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.098091823,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1973.25,0.02201,73,3.7,0.02108101,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.039609138,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1973.5,0.01693,72.9,3.6,0.028299396,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.074801213,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1973.75,0.02679,73,3.4,0.005044127,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.011325149,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1974,0.00707,72.9,3.6,0.005976624,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.031392712,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1974.25,0.00434,73,3.6,0.000988156,-99999999,1.8,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.02684725,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1974.5,0.00519,73.1,3.7,0.003930294,-99999999,2.1,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.035638516,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
